127.0.0.1, 2018-09-26 09:45:26, GET, /admin/default/index, HTTP/1.1, 200, 0.011983
127.0.0.1, 2018-09-26 09:45:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2018-09-26 09:45:29, GET, /admin/default/index, HTTP/1.1, 200, 0.012646
127.0.0.1, 2018-09-26 09:45:32, GET, /admin/default/index, HTTP/1.1, 200, 0.011943
127.0.0.1, 2018-09-26 09:45:34, GET, /, HTTP/1.1, 303, 0.000447
127.0.0.1, 2018-09-26 09:45:34, GET, /welcome/default/index, HTTP/1.1, 200, 0.021520
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001749
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002055
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.004706
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001076
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.000936
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002279
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002587
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002161
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002562
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.003187
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.000497
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.001229
127.0.0.1, 2018-09-26 09:45:35, GET, /start/, HTTP/1.1, 200, 0.041134
127.0.0.1, 2018-09-26 09:45:35, GET, /start/, HTTP/1.1, 200, 0.026662
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.003979
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.001900
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/calendar.css, HTTP/1.1, 304, 0.002310
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.001534
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002958
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.006583
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.002798
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001581
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.002737
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.004177
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.002088
127.0.0.1, 2018-09-26 09:45:35, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000503
127.0.0.1, 2018-09-26 09:45:38, GET, /start/default/entry1, HTTP/1.1, 404, 0.025182
127.0.0.1, 2018-09-26 09:45:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000231
127.0.0.1, 2018-09-26 09:45:40, GET, /start/default/index, HTTP/1.1, 200, 0.023369
127.0.0.1, 2018-09-26 09:45:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2018-09-30 13:52:39, GET, /, HTTP/1.1, 303, 0.002849
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.177091
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002480
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002198
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002398
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001779
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001124
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.002730
127.0.0.1, 2018-09-30 13:52:39, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001656
127.0.0.1, 2018-10-08 22:39:25, GET, /, HTTP/1.1, 303, 0.003805
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/default/index, HTTP/1.1, 200, 0.200479
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001384
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001965
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001186
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001420
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002805
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002767
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.001300
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001044
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000415
127.0.0.1, 2018-10-08 22:39:25, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000508
127.0.0.1, 2018-10-08 22:39:46, GET, /welcome/default/index, HTTP/1.1, 200, 0.022204
127.0.0.1, 2018-10-08 22:39:51, GET, /welcome/default/start, HTTP/1.1, 404, 0.015165
127.0.0.1, 2018-10-08 22:39:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000240
127.0.0.1, 2018-10-08 22:39:54, GET, /welcome/default/start, HTTP/1.1, 404, 0.012891
127.0.0.1, 2018-10-08 22:39:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.025793
127.0.0.1, 2018-10-08 22:40:00, GET, /, HTTP/1.1, 303, 0.000546
127.0.0.1, 2018-10-08 22:40:00, GET, /welcome/default/index, HTTP/1.1, 200, 0.022207
127.0.0.1, 2018-10-08 22:40:02, GET, /, HTTP/1.1, 303, 0.000638
127.0.0.1, 2018-10-08 22:40:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.032212
127.0.0.1, 2018-10-08 22:40:06, GET, /, HTTP/1.1, 303, 0.000541
127.0.0.1, 2018-10-08 22:40:06, GET, /welcome/default/index, HTTP/1.1, 200, 0.024960
127.0.0.1, 2018-10-08 22:40:07, GET, /start/, HTTP/1.1, 200, 0.151482
127.0.0.1, 2018-10-08 22:40:07, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.002194
